CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
23605	COMP	1126	Introduction to Computing I	201420	Mona	B01	Lab	100	TUTOR	TUTOR	18-Jan-15	27-Feb-15	Mon	4:00 PM	5:59 PM	Computer Lab Lab 1		AMEND	
23606	COMP	1126	Introduction to Computing I	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	18-Jan-15	27-Feb-15	Tues	4:00 PM	4:59 PM	Computing Lecture Room		AMEND	
23606	COMP	1126	Introduction to Computing I	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	19-Jan-15	27-Feb-15	Wed	2:00 PM	3:59 PM	Computing Lecture Room		AMEND	
23608	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201420	Mona	T01	Secondary Tutorial	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		OK	
23609	COMP	1126	Introduction to Computing I	201420	Mona	T02	Secondary Tutorial	25		Dean Jones	19-Jan-15	27-Feb-15	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23804	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201420	Mona	T03	Secondary Tutorial	25		Dean Jones	19-Jan-15	27-Feb-15	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23805	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		AMEND	
23806	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		AMEND	
23807	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25160	COMP	1126	Introduction to Computing I	201420	Mona	T07	Secondary Tutorial	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
25161	COMP	1126	Introduction to Computing I	201420	Mona	T08	Tutorial/Discussions	25	10034383	Claudine Allen	19-Jan-15	27-Feb-15	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		AMEND	
23610	COMP	1127	Introduction to Computing II Lab COMP1127	201420	Mona	B01	Lab	100	TUTOR	TUTOR	9-Mar-15	17-Apr-15	Mon	4:00 PM	5:59 PM	Computer Lab Lab 1		AMEND	
23611	COMP	1127	Introduction to Computing II	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	9-Mar-15	17-Apr-15	Tues	4:00 PM	4:59 PM	Computing Lecture Room		AMEND	
23611	COMP	1127	Introduction to Computing II	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	19-Jan-15	17-Apr-15	Wed	2:00 PM	3:59 PM	Computing Lecture Room		AMEND	
23612	COMP	1127	Introduction to Computing II Secondary Tutorial COMP 1127	201420	Mona	T01	Secondary Tutorial	25	TUTOR	TUTOR	9-Mar-15	10-Apr-15	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		OK	
23613	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201420	Mona	T02	Secondary Tutorial	25		Dean Jones	9-Mar-15	10-Apr-15	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23808	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201420	Mona	T03	Secondary Tutorial	25		Dean Jones	9-Mar-15	10-Apr-15	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23809	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		AMEND	
23810	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		AMEND	
23811	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25163	COMP	1127	Introduction to Computing II	201420	Mona	T07	Secondary Tutorial	25	TUTOR	TUTOR	9-Mar-15	10-Apr-15	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
25164	COMP	1127	Introduction to Computing II	201420	Mona	T08	Tutorial/Discussions	25	10034383	Claudine Allen	9-Mar-15	16-Apr-15	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		AMEND	
23812	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B01	Lab	65	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Tues	5:00 PM	6:59 PM	Computer Lab Lab 1		AMEND	
23813	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B02	Lab	65	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Wed	5:00 PM	6:59 PM	Computer Lab Lab 1		AMEND	
23614	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B03	Lab	65	10031769	Careene Rodney	18-Jan-15	6-May-15	Thur	8:00 AM	9:59 AM	Computer Lab Lab 1		OK	
23615	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B04	Lab	65	10031769	Careene Rodney	18-Jan-15	6-May-15	Fri	8:00 AM	9:59 AM	Computer Lab Lab 1		OK	
23749	COMP	1161	Introduction to Object-Oriented Programming	201420	Mona	M11	Lecture	260	10017952	Eyton A. Ferguson	19-Jan-15	10-Apr-15	Mon	1:00 PM	2:59 PM	PAS: PreClinical Lecture Theatre		OK	
23749	COMP	1161	Introduction to Object-Oriented Programming	201420	Mona	M11	Lecture	260	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Mon	6:00 PM	7:59 PM	PAS: Science Lecture Theatre		OK	
23751	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T01	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Mon	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		OK	
23755	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T02	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Mon	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		AMEND	
23757	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T03	Tutorial/Discussions	20	10019382	Paul A. Gaynor	19-Jan-15	16-Apr-15	Mon	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		OK	
23763	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T04	Tutorial/Discussions	20	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Mon	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23766	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T05	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		OK	
23768	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T06	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Tues	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		AMEND	
23770	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T07	Tutorial/Discussions	20		Dean Jones	19-Jan-15	16-Apr-15	Tues	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		AMEND	
23776	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T08	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Wed	7:00 PM	7:59 PM	Computer Science Tutorial Room 1		OK	
23778	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T09	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		OK	
23779	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T10	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Mon	9:00 AM	9:59 AM	Computer Science Tutorial Room 2		OK	
23780	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T11	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Tues	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		OK	
23782	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T12	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Wed	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		OK	
23784	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T13	Tutorial/Discussions	20	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Wed	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		AMEND	
23786	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP116	201420	Mona	T14	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Thur	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		OK	
23787	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T15	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Thur	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		AMEND	
23789	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T17	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Fri	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		AMEND	
23791	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T18	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		OK	
23798	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T19	Tutorial/Discussions	20	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
24505	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T20	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Thur	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		AMEND	
24506	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T21	Tutorial/Discussions	20	10034560	Simon Edewafe	19-Jan-15	10-Apr-15	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		AMEND	
23865	COMP	1210	Mathematics for Computing	201420	Mona	M11	Lecture	150	10018699	Kirk R. Morgan	19-Jan-15	16-Apr-15	Tues	6:00 PM	7:59 PM	PAS: PreClinical Lecture Theatre		OK	
23866	COMP	1210	Mathematics for Computing Tutorial COMP1210	201420	Mona	T01	Tutorial/Discussions	25	10018699	Kirk R. Morgan	19-Jan-15	16-Apr-15	Wed	4:00 PM	4:59 PM	PAS: PreClinical Lecture Theatre		OK	
23867	COMP	1210	Mathematics for Computing Tutorial COMP1210	201420	Mona	T02	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Fri	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		OK	
23868	COMP	1210	Mathematics for Computing Tutorial COMP1210	201420	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Wed	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		OK	
23870	COMP	1210	Mathematics for Computing Tutorial COMP1210	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Fri	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		OK	
23871	COMP	1210	Mathematics for Computing Tutorial COMP1210	201420	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	4:00 PM	4:59 PM	Computer Science Tutorial Room 2		OK	
25181	COMP	1210	Mathematics for Computing	201420	Mona	T07	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Fri	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		OK	
23872	COMP	1220	Computing and Society	201420	Mona	M11	Lecture	240	10014246	Christopher Muir	19-Jan-15	16-Apr-15	Thur	5:00 PM	6:59 PM	PAS: Physiology Lect Theatre		AMEND	
	COMP	1220	Computing and Society	201420	Mona	M11	Lecture	240	10014246	Christopher Muir	19-Jan-15	16-Apr-15	Wed	5:00 PM	5:59 PM	PAS: Physiology Lect Theatre		ADD	
	COMP	1220	Computing and Society	201420	Mona		Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Mon	6:00 PM	6:59 PM	Computer Science Tutorial Room 1		ADD	
	COMP	1220	Computing and Society	201420	Mona		Tutorial/Discussions	30	10014246	Christopher Muir	19-Jan-15	16-Apr-15	Tues	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		ADD	
	COMP	1220	Computing and Society	201420	Mona		Tutorial/Discussions	30	10014246	Christopher Muir	19-Jan-15	16-Apr-15	Tues	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		ADD	
24507	COMP	1220	Computing and Society Tutorial COMP1220	201420	Mona	T01	Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Fri	2:00 PM	2:59 PM	Computer Science Tutorial Room 2		AMEND	
24509	COMP	1220	Computing and Society Tutorial COMP1220	201420	Mona	T02	Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Wed	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		AMEND	
24508	COMP	1220	Computing and Society Tutorial COMP1220	201420	Mona	T03	Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Fri	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		AMEND	
24510	COMP	1220	Computing and Society Tutorial COMP1220	201420	Mona	T04	Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Thur	8:00 PM	8:59 PM	Computer Science Tutorial Room 2		AMEND	
25182	COMP	1220	Computing and Society	201420	Mona	T05	Tutorial/Discussions	30	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Fri	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		AMEND	
20660	COMP	2170	(CS28Q) Object Technology	201420	Mona	M11	Lecture	100	10034383	Claudine Allen	19-Jan-15	16-Apr-15	Mon	10:00 AM	11:59 AM	PAS: PreClinical Lecture Theatre		AMEND	
20660	COMP	2170	(CS28Q) Object Technology	201420	Mona	M11	Lecture	100	10034383	Claudine Allen	19-Jan-15	16-Apr-15	Fri	2:00 PM	2:59 PM	PAS: PreClinical Lecture Theatre		AMEND	
24513	COMP	2170	(CS28Q) Object Technology Tutorial COMP2170	201420	Mona	T01	Tutorial/Discussions	25	10017952	Eyton A. Ferguson	19-Jan-15	10-Apr-15	Fri	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		OK	
21418	COMP	2170	(CS28Q) Object Technology Tutorial COMP2170	201420	Mona	T02	Tutorial/Discussions	25	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Thur	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
22945	COMP	2170	(CS28Q) Object Technology	201420	Mona	T03	Tutorial/Discussions	25	10034383	Claudine Allen	19-Jan-15	16-Apr-15	Mon	3:00 PM	3:59 PM	Computer Science Tutorial Room 2		AMEND	
25184	COMP	2170	(CS28Q) Object Technology	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	17-Apr-15	Wed	2:00 PM	2:59 PM	Computer Science Tutorial Room 2		OK	
25679	COMP	2211	Analysis of Algorithms	201420	Mona	M11	Lecture	125	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Mon	4:00 PM	4:59 PM	PAS: PreClinical Lecture Theatre		AMEND	
25679	COMP	2211	Analysis of Algorithms	201420	Mona	M11	Lecture	125	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Tues	1:00 PM	1:59 PM	PAS: PreClinical Lecture Theatre		AMEND	
25679	COMP	2211	Analysis of Algorithms	201420	Mona	M11	Lecture	125	10019382	Paul A. Gaynor	19-Jan-15	17-Apr-15	Fri	11:00 AM	11:59 AM	PAS: PreClinical Lecture Theatre		AMEND	
